"N°","Sexo","Edad","Tipo cliente","Precio","Dcto"
"142","Femenino","26","VIP","19,900","15%"
"143","Femenino","21","Normal","49,900","15%"
"144","Masculino","52","Normal","64,900","5%"
"145","Femenino","33","Normal","269,900","10%"
"146","Femenino","59","Normal","49,800","10%"
"147","Femenino","34","Normal","49,900","15%"
"148","Masculino","45","Normal","189,900","10%"
"149","Femenino","35","VIP","21,160","5%"
"150","Femenino","53","VIP","42,900","30%"
"151","Masculino","29","Normal","49,900","35%"
"152","Femenino","38","Normal","23,940","35%"
"153","Femenino","42","Normal","39,900","10%"
"154","Femenino","48","Normal","34,900","10%"
"155","Femenino","26","Normal","36,900","10%"
"156","Masculino","42","Normal","69,900","20%"
"157","Masculino","28","VIP","49,900","30%"
"158","Femenino","51","VIP","9,960","20%"
"159","Femenino","23","VIP","12,900","15%"
"160","Masculino","38","Normal","32,900","30%"
"161","Femenino","51","Normal","44,900","15%"
"162","Femenino","44","Normal","29,900","5%"
"163","Femenino","32","Normal","94,900","35%"
"164","Femenino","41","Normal","16,900","15%"
"165","Masculino","41","Normal","8,900","50%"
"166","Femenino","54","Normal","89,900","15%"
"167","Femenino","40","VIP","25,130","15%"
"168","Femenino","44","Normal","39,900","10%"
"169","Femenino","50","Normal","84,900","15%"
"170","Femenino","45","Normal","185,800","15%"
"171","Femenino","41","Normal","29,900","35%"
"172","Masculino","56","Normal","13,960","15%"
"173","Femenino","41","Normal","9,960","35%"
"174","Femenino","47","Normal","52,900","30%"
"175","Femenino","50","VIP","25,740","15%"
"176","Femenino","65","Normal","14,900","50%"
"177","Femenino","48","VIP","34,900","35%"
"178","Femenino","43","VIP","32,900","15%"
"179","Femenino","44","VIP","42,900","5%"
"180","Femenino","40","Normal","16,900","15%"
"181","Femenino","43","Normal","149,900","30%"
"182","Femenino","41","VIP","26,900","20%"
"183","Femenino","26","Normal","39,900","5%"
"184","Femenino","41","Normal","17,940","15%"
"185","Femenino","41","Normal","189,900","10%"
"186","Femenino","37","VIP","49,900","5%"
"187","Masculino","20","Normal","149,900","15%"
"189","Femenino","40","VIP","74,900","35%"
"190","Masculino","25","Normal","84,900","10%"
"191","Femenino","52","Normal","44,900","30%"
"192","Femenino","46","Normal","18,830","5%"
"193","Femenino","36","Normal","26,900","20%"
"194","Femenino","57","VIP","64,900","10%"
"195","Femenino","40","Normal","18,900","30%"
"196","Femenino","70","Normal","32,900","50%"
"197","Femenino","40","VIP","33,900","30%"
"198","Femenino","24","VIP","52,900","10%"
"199","Femenino","39","Normal","39,900","20%"
"200","Femenino","35","VIP","16,030","15%"
"201","Masculino","21","Normal","28,900","10%"
"202","Femenino","47","Normal","31,430","15%"
"203","Femenino","45","Normal","19,900","15%"
"204","Femenino","20","VIP","37,900","30%"
"205","Masculino","52","Normal","44,900","10%"
"206","Femenino","36","VIP","49,900","50%"
"207","Femenino","56","Normal","154,900","15%"
"208","Femenino","49","Normal","39,900","15%"
"209","Femenino","22","Normal","39,920","20%"
"210","Femenino","35","VIP","44,900","20%"
"211","Femenino","64","Normal","109,900","15%"
"212","Femenino","45","VIP","8,900","10%"
"213","Masculino","38","Normal","17,940","30%"
"214","Masculino","48","Normal","13,930","20%"
"215","Femenino","57","VIP","26,900","10%"
"216","Femenino","26","VIP","63,900","35%"
"217","Masculino","31","Normal","13,800","15%"
"218","Femenino","48","VIP","37,900","15%"
"220","Femenino","65","Normal","49,900","20%"
"221","Masculino","23","Normal","37,900","30%"
"222","Femenino","54","VIP","122,900","10%"
"223","Femenino","21","VIP","16,900","5%"
"224","Femenino","35","VIP","26,900","5%"
"225","Masculino","26","Normal","49,900","5%"
"226","Femenino","51","Normal","87,900","5%"
"227","Masculino","48","VIP","52,900","30%"
"228","Femenino","47","Normal","39,900","30%"
"229","Femenino","42","VIP","64,900","15%"
"230","Femenino","34","VIP","54,900","30%"
"231","Femenino","52","Normal","4,900","5%"
"232","Femenino","63","VIP","44,900","5%"
"233","Femenino","60","Normal","16,029","35%"
"234","Femenino","51","VIP","44,900","35%"
"235","Femenino","51","VIP","52,900","20%"
"236","Femenino","36","Normal","19,900","20%"
"237","Femenino","37","VIP","29,900","5%"
"238","Masculino","29","Normal","59,900","30%"
"239","Femenino","29","VIP","46,900","10%"
"240","Femenino","58","VIP","20,930","10%"
"241","Femenino","34","Normal","32,900","30%"
"242","Masculino","53","VIP","22,900","5%"
"243","Masculino","51","Normal","16,029","5%"
"244","Femenino","50","Normal","29,900","10%"
"245","Femenino","55","VIP","42,900","15%"
"246","Femenino","44","Normal","3,900","10%"
"247","Femenino","44","VIP","122,900","10%"
"248","Femenino","51","VIP","49,900","30%"
"249","Femenino","57","VIP","8,450","35%"
"250","Masculino","68","Normal","79,900","5%"
"251","Masculino","41","Normal","39,900","30%"
"252","Masculino","44","Normal","39,900","10%"
"253","Femenino","35","Normal","23,940","15%"
"254","Femenino","46","Normal","20,940","30%"
"255","Femenino","28","Normal","34,900","5%"
"256","Femenino","37","VIP","2,900","15%"
"257","Masculino","65","VIP","25,830","20%"
"258","Femenino","29","Normal","23,920","35%"
"259","Femenino","38","Normal","44,900","15%"
"260","Femenino","22","Normal","14,450","10%"
"261","Femenino","44","VIP","19,470","20%"
"262","Femenino","59","VIP","22,900","10%"
"263","Femenino","43","Normal","9,160","20%"
"264","Masculino","50","Normal","39,900","20%"
"265","Femenino","65","Normal","71,940","5%"
"266","Femenino","46","Normal","27,120","10%"
"267","Femenino","45","Normal","42,900","20%"
"268","Femenino","44","Normal","7,960","15%"
"269","Femenino","44","VIP","32,900","5%"
"270","Femenino","43","Normal","119,900","15%"
"271","Masculino","34","VIP","22,900","10%"
"272","Femenino","52","VIP","23,030","35%"
"273","Femenino","43","Normal","29,900","30%"
"274","Femenino","39","Normal","32,900","5%"
"275","Masculino","54","VIP","11,970","30%"
"276","Femenino","61","VIP","62,900","35%"
"277","Masculino","34","Normal","28,140","15%"
"278","Femenino","32","VIP","42,900","35%"
"279","Femenino","51","Normal","6,580","30%"
"280","Masculino","45","Normal","37,900","10%"
"281","Femenino","49","VIP","26,940","35%"
"282","Femenino","47","Normal","33,800","35%"
"283","Masculino","24","Normal","23,960","30%"
"284","Masculino","48","VIP","49,900","35%"
"285","Femenino","28","VIP","26,900","30%"
"286","Masculino","29","Normal","64,900","5%"
"287","Femenino","31","Normal","45,160","30%"
"288","Masculino","40","VIP","36,900","10%"
"289","Femenino","28","VIP","16,900","5%"
"290","Femenino","39","VIP","2,900","30%"
"291","Masculino","39","Normal","29,900","30%"
"292","Femenino","42","Normal","24,900","10%"
"293","Femenino","67","VIP","5,900","50%"
"294","Femenino","27","VIP","36,900","15%"
"295","Femenino","29","VIP","56,900","5%"
"296","Femenino","43","Normal","56,900","30%"
"297","Femenino","53","Normal","9,960","35%"
"298","Femenino","44","VIP","42,320","10%"
"299","Femenino","52","Normal","84,900","10%"
"300","Femenino","46","VIP","22,140","30%"
"301","Femenino","55","VIP","34,900","15%"
"302","Femenino","43","VIP","39,900","5%"
"303","Masculino","32","VIP","36,900","10%"
"305","Masculino","55","VIP","33,900","5%"
"306","Femenino","37","Normal","79,900","5%"
"307","Femenino","57","Normal","59,900","5%"
"308","Femenino","29","VIP","26,900","20%"
"309","Masculino","50","Normal","30,960","20%"
"310","Masculino","33","VIP","39,600","10%"
"311","Femenino","35","Normal","91,600","10%"
"312","Masculino","59","Normal","67,600","15%"
"313","Femenino","60","Normal","15,600","35%"
"314","Femenino","45","Normal","19,600","15%"
"315","Femenino","45","VIP","59,600","35%"
"316","Femenino","43","Normal","7,600","15%"
"317","Masculino","40","Normal","11,880","5%"
"318","Femenino","30","Normal","39,600","10%"
"319","Femenino","29","Normal","14,700","20%"
"320","Masculino","41","Normal","11,700","5%"
"321","Masculino","40","VIP","89,700","5%"
"322","Femenino","32","VIP","50,700","5%"
"323","Femenino","25","Normal","59,880","10%"
"324","Femenino","55","Normal","47,700","15%"
"325","Femenino","40","VIP","101,700","50%"
"326","Femenino","37","VIP","119,700","10%"
"327","Femenino","29","Normal","6,700","5%"
"328","Masculino","49","VIP","27,090","5%"
"330","Femenino","38","Normal","28,350","35%"
"331","Femenino","58","Normal","14,700","5%"
"332","Masculino","25","Normal","119,700","20%"
"333","Femenino","43","Normal","71,760","15%"
"334","Femenino","30","Normal","80,700","5%"
"335","Femenino","42","VIP","17,700","20%"
"336","Femenino","49","Normal","35,490","10%"
"337","Masculino","62","Normal","30,960","50%"
"338","Masculino","46","Normal","179,700","15%"
"339","Masculino","40","VIP","20,280","35%"
"340","Femenino","46","Normal","23,880","35%"
"341","Femenino","45","Normal","14,700","15%"
"343","Femenino","39","VIP","74,700","30%"
"344","Femenino","42","Normal","4,700","15%"
"345","Femenino","31","VIP","74,700","5%"
"346","Femenino","59","Normal","51,480","5%"
"347","Femenino","27","Normal","69,360","35%"
"349","Femenino","47","VIP","9,700","15%"
"350","Femenino","42","VIP","17,700","5%"
"351","Femenino","29","Normal","74,700","10%"
"352","Masculino","20","VIP","63,480","10%"
"353","Masculino","32","Normal","179,700","30%"
"354","Femenino","55","VIP","74,700","20%"
"356","Femenino","51","Normal","14,700","50%"
"357","Femenino","49","Normal","104,700","5%"
"358","Femenino","24","VIP","74,700","35%"
"359","Masculino","37","VIP","50,700","10%"
"360","Femenino","45","VIP","41,220","20%"
"361","Femenino","44","Normal","68,700","5%"
"362","Femenino","26","Normal","113,700","30%"
"363","Femenino","35","VIP","26,820","20%"
"364","Femenino","40","Normal","140,700","10%"
"365","Femenino","31","Normal","110,700","20%"
"366","Masculino","40","VIP","88,560","20%"
"367","Femenino","62","Normal","59,880","15%"
"368","Femenino","32","Normal","14,700","30%"
"369","Femenino","27","VIP","38,700","30%"
"370","Femenino","61","Normal","29,700","5%"
"371","Masculino","39","Normal","89,700","10%"
"372","Femenino","39","Normal","29,700","50%"
"373","Femenino","70","Normal","29,700","15%"
"374","Femenino","50","VIP","14,700","35%"
"375","Femenino","47","Normal","49,410","10%"
"376","Masculino","42","Normal","107,700","10%"
"377","Femenino","38","VIP","64,350","10%"
"378","Masculino","32","Normal","59,700","35%"
"379","Femenino","25","VIP","29,700","20%"
"380","Femenino","26","Normal","14,700","5%"
"381","Masculino","36","Normal","17,940","15%"
"4905","Femenino","40","Normal","13,900","15%"
"9558","Masculino","59","VIP","27,960","5%"
"10724","Femenino","60","VIP","59,900","15%"
"27974","Masculino","23","VIP","13,900","30%"
"29354","Masculino","32","Normal","47,920","5%"
"36878","Masculino","39","Normal","59,900","15%"
"40474","Femenino","62","Normal","8,900","10%"
"54553","Masculino","26","Normal","8,900","15%"
"64077","Masculino","51","VIP","13,900","15%"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
